id,id_serie,titulo,duracion,numero_temporada,serie
81,6,La maquina del tiempo,31,3,31 minutos
82,6,La mona lisa,32,4,31 minutos
83,6,Cirugía,32,4,31 minutos
84,7,Efectuar lo acordado,50,1,La Casa de Papel
85,7,Se acabaron las máscaras,50,2,La Casa de Papel
86,7,Hemos vuelto,50,3,La Casa de Papel
87,8,Bienvenidos,60,1,Élite
88,8,20 horas desaparecido,55,2,Élite
89,8,Carla,58,3,Élite
90,9,Wolferton Splash,62,1,The Crown
91,9,Misadventure,60,2,The Crown
92,9,Olding,58,3,The Crown
93,10,Midoriya Izuku: Origen,24,1,My Hero Academia
94,10,Libreta de héroes,24,2,My Hero Academia
95,10,Empieza el juego,24,3,My Hero Academia
96,11,Casete 1: lado A,60,1,13 reasons why
97,11,La primera polaroid,62,2,13 reasons why
98,11,Si: soy la chica nueva,56,3,13 reasons why
99,12,El fin y el comienzo,20,1,Haikyuu!!
100,12,¡Vamos a Tokyo!,22,2,Haikyuu!!
101,12,Saludos,21,3,Haikyuu!!
102,13,Capítulo 1: Corrientes traicioneras,55,1,Riverdale
103,13,Capítulo 14: Un beso antes de morir,60,2,Riverdale
104,13,Capítulo 36: Día del Trabajo,62,3,Riverdale
105,14,Partida x Y x Compañeros,24,1,Hunter x Hunter
106,14,Un x Guardián x Peligroso,24,2,Hunter x Hunter
107,14,Respuesta de papa,24,3,Hunter x Hunter
108,15,Antártida,60,1,Atypical
109,15,Empapada,62,2,Atypical
110,15,Los mejores planes,59,3,Atypical
111,16,Piloto,43,1,Dr. House
112,16,Aceptación,42,2,Dr. House
113,16,Sentido,44,3,Dr. House
114,17,La noche de un día difícil,40,1,Grey's Anatomy
115,17,Gotas de lluvia sobre mi cabeza,42,2,Grey's Anatomy
116,17,Llegó el momento,45,3,Grey's Anatomy
117,18,Panico en la fiesta del palacio,21,1,Hora de aventura
118,18,Llegó de la Nocheósfera,21,2,Hora de aventura
119,18,El recuerdo de un recuerdo,21,3,Hora de aventura
120,19,Wendigo,55,1,Supernatural
121,19,En mi tiempo de morir,50,2,Supernatural
122,19,Los siete magníficos,58,3,Supernatural
123,20,Más fuertes juntos,35,1,Supergirl
124,20,Las aventuras de Supergirl,40,2,Supergirl
125,20,La mujer de acero,42,3,Supergirl
126,21,Simpsons Roasting on an Open Fire,20,1,Los Simpsons
127,21,"Bart Gets an ""F""",20,2,Los Simpsons
128,21,Stark Raving Dad,20,3,Los Simpsons
129,22,Episode 1,40,1,Peaky Blinders
130,22,Episode 1,42,2,Peaky Blinders
131,22,Episode 1,41,3,Peaky Blinders
132,23,Pilot,22,1,Rick y Morty
133,23,A Rickle in Time,22,2,Rick y Morty
134,23,The Rickshank Rickdemption,22,3,Rick y Morty
135,24,A ti: 2.000 años en el futuro,23,1,Ataque a los titanes
136,24,El titán bestia,23,2,Ataque a los titanes
137,24,Señal de humo,23,3,Ataque a los titanes
138,25,El alquimista de acero,23,1,Full Metal Alchemist Brotherhood
139,25,Los que acechan bajo tierra,23,2,Full Metal Alchemist Brotherhood
140,25,Interludio,23,3,Full Metal Alchemist Brotherhood
141,26,El niño en el iceberg,24,1,Avatar: la leyenda de Aang
142,26,El estado avatar,24,2,Avatar: la leyenda de Aang
143,26,El despertar,24,3,Avatar: la leyenda de Aang
144,27,Pilot,49,1,The Vampire Diaries
145,27,The Return,49,2,The Vampire Diaries
146,27,The Birthday,49,3,The Vampire Diaries
147,28,Pilot,40,1,Gossip Girl
148,28,Verano: una especie de maravilla,42,2,Gossip Girl
149,28,Los contratiempos de la Fortuna,45,3,Gossip Girl
150,29,Estudio en rosa,60,1,Sherlock
151,29,Escándalo en Belgravia,60,2,Sherlock
152,29,Many Happy Returns,60,3,Sherlock
153,30,Rose,45,1,Doctor Who
154,30,Nueva tierra,46,2,Doctor Who
155,30,Smith y Jones,45,2,Doctor Who
156,31,Exposed,44,1,Scream
157,31,Psycho,45,2,Scream
